	x	y	z	data	sample	cluster_number	consensus_lca	consensus_weighted	consensus_kmode	cross_method_entropy	SEDR_config_default_label	BANKSY_config_default_label	SpaceFlow_config_default_label	precast_config_default_label	CellCharter_config_default_label	seurat_config_default_label
1019171907102310675	5996.711505732966	-5430.68787492355	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	8	6	12	1.67623493913473	3	6	6	1	9	3
1019171907202310620	6060.775534136704	-5376.990406497705	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	8	6	12	1.67623493913473	3	6	6	1	9	3
1019171907102520234	6111.987678651347	-5690.389364252959	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	15	6	12	1.54617573838128	14	6	11	1	5	3
1019171907102310608	5968.530924763086	-5343.779377897236	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	8	6	12	1.59921858573918	3	6	6	1	9	12
1019171907101850563-1	4900.361291122148	-5097.326708716686	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	8	6	12	1.51533982745586	9	6	6	1	9	12
1019171907102300597	5872.478339994733	-5619.905172741514	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	9	3	12	1.59921858573918	1	3	5	1	9	3
1019171907102310597-1	6022.581934254575	-5319.684217525697	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	8	6	12	1.59921858573918	3	6	6	1	9	12
1019171907102290412	5331.789986997535	-6009.98769251176	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	9	3	7	1.63772676243696	1	3	5	1	3	3
1019171907102310437-1	6095.484134653364	-5172.520240956596	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	8	6	12	1.67623493913473	3	6	6	1	9	3
1019171907102310531	6224.658862330041	-5160.626948468109	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	8	6	12	1.59921858573918	3	6	6	1	9	12
1019171907102310335-1	6100.74830229375	-5082.208265711268	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	8	6	12	1.67623493913473	3	6	6	1	9	3
1019171907102310626-1	6045.6230822390135	-5344.552059309162	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	8	6	12	1.67623493913473	3	6	6	1	9	3
1019171907102310544-1	6218.914656395205	-5185.216064349761	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	8	6	12	1.59921858573918	3	6	6	1	9	12
1019171907102310284-1	6145.76418190625	-4959.040278486488	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	8	6	12	1.59921858573918	3	6	6	1	9	12
1019171907102310522-1	6211.882303840731	-5160.117387879303	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	8	6	12	1.75325129253028	3	6	6	1	9	10
1019171907201850431	4837.309489386769	-5053.601544073282	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	8	6	12	1.67623493913473	3	6	6	1	9	3
1019171907102300464-1	5836.321979056534	-5451.599774988791	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	8	6	12	1.59921858573918	3	6	6	1	9	12
1019171907102510132	5545.3203716671815	-6144.854840558586	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	9	3	7	1.63772676243696	1	3	5	1	3	3
1019171907102310532-1	6237.894784742681	-5151.843420497702	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	8	6	12	1.67623493913473	3	6	6	1	9	3
1019171907102300600	5938.105277516424	-5419.123645366094	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	8	6	12	1.67623493913473	3	6	6	1	9	3
1019171907102530166	6162.652089538645	-5517.392219183155	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	15	5	15	1.37760836093005	14	6	6	7	5	3
1019171907102300591-1	5916.8906964384405	-5449.9652428054505	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	8	6	12	1.51533982745586	9	6	6	1	9	12
1019171907102310287-1	6097.703366544581	-5035.368226821849	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	8	6	12	1.60775945153052	9	6	6	1	9	3
1019171907102290471	5305.91364701354	-6084.870845401826	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	9	3	7	1.63772676243696	1	3	5	1	3	3
1019171907102300614	5921.670805272679	-5524.266396953969	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	8	6	12	1.67623493913473	3	6	6	1	9	3
1019171907102310581-1	6097.317913743555	-5273.338272575074	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	8	6	12	1.67623493913473	3	6	6	1	9	3
1019171907101850477-1	4839.326043735749	-5076.493473748891	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	8	6	12	1.67623493913473	3	6	6	1	9	3
1019171907102300593-1	5919.615147422404	-5454.966982048845	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	8	6	12	1.51533982745586	9	6	6	1	9	12
1019171907102070433-1	4999.668811947393	-5576.496288235029	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	8	6	12	1.67623493913473	3	3	6	1	9	3
1019171907102520259	5990.482781520154	-5848.636504605188	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	9	3	7	1.63772676243696	1	3	8	1	3	3
1019171907102070468-1	5093.472097644182	-5486.170015022822	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	9	6	12	1.50766756168351	1	3	6	1	9	3
